Age (Years),Brand,Height (cm),Chest (cm),Waist (cm),Hips (cm)
4,H&M,104,56,54,60
4,Zara,104,56,53,61
4,Max,106,55,61,100
4,Benetton,104,59,54,61
4,Popees,104,59,54,61
4,Fab India,104,57,54,60
5,H&M,110,58,55,62
5,Zara,110,59,54,64
5,Max,113,57,63,106
5,Benetton,110,61,55,63
5,Popees,110,61,55,63
5,Fab India,110,59,55,62
6,H&M,116,60,56,64
6,Zara,116,62,55,66
6,Max,120,59,66,112
6,Benetton,116,63,57,66
6,Popees,116,63,57,66
6,Fab India,116,61,56,64
7,H&M,122,62,57,66
7,Zara,122,65,58,69
7,Max,126,60,69,118
7,Benetton,123,65,58,69
7,Popees,122,64,58,68
7,Fab India,122,63,57,67
8,H&MG,128,65,58,70
8,H&MB,128,64,58,68
8,Zara,128,69,62,71
8,Max,132,62,72,124
8,Benetton,130,68,60,72
8,Popees,128,66,59,70
8,Fab India,128,66,59,70
9,H&MG,134,67,60,73
9,H&MB,134,67,60,71
9,Zara,134,71,63,73
9,Max,138,62,75,129
9,Benetton,135,70,61,74
9,Popees,134,69,60,73
9,Fab India,134,69,60,73
10,H&MG,140,70,62,77
10,H&MB,140,71,63,74
10,Zara,140,73,64,76
10,Max,144,63,79,134
10,Benetton,140,72,62,77
10,Popees,140,72,62,77
10,Fab India,140,72,62,77
11,H&MG,146,73,66,80
11,H&MB,146,74,65,82
11,Zara,146,76,66,78
11,Max,150,63,81,139
11,Benetton,145,74,63,80
11,Popees,146,75,65,80
11,Fab India,146,75,65,80
12,H&MG,152,77,65,84
12,H&MB,152,78,68,85
12,Zara,152,79,68,81
12,Max,156,64,84,144
12,Benetton,150,76,64,82
12,Popees,152,78,68,83
12,Fab India,152,78,68,83
13,H&MG,158,79,66,86
13,H&MB,158,82,70,87
13,Zara,158,81,69,83
13,Max,160,65,86,149
13,Benetton,155,78,65,85
13,Popees,158,81,68,88
13,Fab India,158,81,68,88
14,H&MG,164,82,67,88
14,H&MB,164,86,73,89
14,Zara,164,84,71,86
14,Max,164,66,89,154
14,Benetton,160,80,67,88
14,Popees,164,84,69,93
14,Fab India,164,84,69,93
15,H&MG,170,83,70,90
15,H&MB,170,88,77,91
15,Zara,170,86,72,88
15,Max,168,67,91,159
15,Benetton,165,82,68,90
15,Popees,168,86,71,95
15,Fab India,168,86,71,95